,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Price,Company
1360,Nissan Sunny 2011-2014,Pune,2013,8000,Petrol,Manual,First,375000.0,Nissan
1361,Maruti Alto 800,Mumbai,2019,171,Petrol,Manual,First,360000.0,Maruti
1362,Maruti Alto K10,Kolkata,2018,2100,Petrol,Manual,First,360000.0,Maruti
1363,Hyundai Grand i10,Coimbatore,2018,20667,Petrol,Automatic,First,755000.0,Hyundai
1364,Honda Mobilio S,Kolkata,2015,50000,Diesel,Manual,First,470000.0,Honda
1365,Tata Manza Aqua,Jaipur,2010,100030,Diesel,Manual,Second,160000.0,Tata
1366,Chevrolet Optra Magnum,Pune,2011,75372,Diesel,Manual,First,334000.0,Chevrolet
1367,Honda City i,Kochi,2016,60475,Petrol,Automatic,First,910000.0,Honda
1368,Hyundai Grand i10,Kochi,2019,18453,Petrol,Manual,First,617000.0,Hyundai
1369,Hyundai Verna CRDi,Hyderabad,2008,96578,Diesel,Manual,First,250000.0,Hyundai
1370,Nissan Micra XL,Kolkata,2016,31001,Petrol,Manual,First,300000.0,Nissan
1371,Hyundai Verna 1.6,Jaipur,2012,65900,Diesel,Manual,First,575000.0,Hyundai
1372,Hyundai Creta 1.6,Bangalore,2017,26246,Petrol,Manual,First,1075000.0,Hyundai
1373,Maruti Wagon R,Jaipur,2013,62700,Petrol,Manual,Second,285000.0,Maruti
1374,Honda Accord 2.4,Chennai,2008,90000,Petrol,Automatic,First,650000.0,Honda
1375,Honda City 1.5,Bangalore,2016,36000,Petrol,Automatic,First,944999.9999999999,Honda
1376,Maruti Baleno Alpha,Delhi,2016,46000,Diesel,Manual,First,675000.0,Maruti
1377,Honda City i,Coimbatore,2017,73003,Diesel,Manual,First,775000.0,Honda
1378,Hyundai i20 Era,Kochi,2014,46566,Diesel,Manual,First,440000.00000000006,Hyundai
1379,Mercedes-Benz E-Class 2015-2017,Jaipur,2015,41493,Diesel,Automatic,First,4200000.0,Mercedes-Benz
1380,Nissan Terrano XV,Kochi,2014,103788,Diesel,Manual,First,567000.0,Nissan
1381,Renault Duster 110PS,Bangalore,2016,45000,Diesel,Automatic,First,1150000.0,Renault
1382,Maruti Wagon R,Pune,2009,120000,Petrol,Manual,First,169000.0,Maruti
1383,Hyundai Getz 1.5,Jaipur,2009,97359,Diesel,Manual,Second,180000.0,Hyundai
1384,Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,320000.0,Maruti
1385,Honda City 1.5,Pune,2004,115000,Petrol,Manual,Second,150000.0,Honda
1386,BMW 5 Series,Kochi,2019,18373,Diesel,Automatic,First,4586000.0,BMW
1387,Volkswagen Polo 1.2,Hyderabad,2016,60453,Petrol,Manual,First,509999.99999999994,Volkswagen
1388,Maruti Swift VDI,Pune,2013,37000,Diesel,Manual,First,484999.99999999994,Maruti
1389,Ford Figo Petrol,Mumbai,2010,69009,Petrol,Manual,Second,240000.0,Ford
1390,BMW 3 Series,Hyderabad,2013,30000,Diesel,Automatic,First,2200000.0,BMW
1391,Hyundai Verna 1.6,Delhi,2012,70707,Diesel,Manual,First,428000.0,Hyundai
1392,Renault Duster 85PS,Coimbatore,2015,64677,Diesel,Manual,First,567000.0,Renault
1393,Hyundai Grand i10,Bangalore,2018,3000,Petrol,Automatic,First,620000.0,Hyundai
1394,BMW X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,1449000.0,BMW
1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,300000.0,Maruti
1396,Hyundai i10 Era,Jaipur,2010,52000,Petrol,Manual,Second,225000.0,Hyundai
1397,BMW X5 2014-2019,Kochi,2016,35659,Diesel,Automatic,First,4378000.0,BMW
1398,Honda City V,Kochi,2019,5377,Petrol,Manual,First,1145000.0,Honda
1399,Mahindra Ssangyong Rexton,Delhi,2014,65000,Diesel,Automatic,First,1050000.0,Mahindra
1400,Ford Ecosport 1.5,Coimbatore,2015,92708,Diesel,Manual,First,748000.0,Ford
1401,Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,310000.0,Maruti
1402,Volkswagen Polo 1.2,Mumbai,2011,46759,Petrol,Manual,First,254999.99999999997,Volkswagen
1403,Volkswagen Polo Diesel,Jaipur,2013,62000,Diesel,Manual,First,350000.0,Volkswagen
1404,Volkswagen Polo Diesel,Kolkata,2012,35175,Diesel,Manual,First,259000.0,Volkswagen
1405,Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,545000.0,Maruti
1406,Ford EcoSport 1.5,Kolkata,2017,30000,Diesel,Manual,First,600000.0,Ford
1407,Toyota Innova Crysta,Kolkata,2016,66618,Diesel,Automatic,First,1549000.0,Toyota
1408,BMW 5 Series,Mumbai,2010,69300,Petrol,Automatic,Second,1250000.0,BMW
1409,Maruti Swift Dzire,Kolkata,2017,148000,Diesel,Manual,First,475000.0,Maruti
1410,Ford Ecosport 1.0,Mumbai,2017,22000,Petrol,Manual,First,785000.0,Ford
1411,Hyundai Verna CRDi,Ahmedabad,2013,75000,Diesel,Manual,First,600000.0,Hyundai
1412,Tata Zest Revotron,Mumbai,2016,43706,Petrol,Manual,First,400000.0,Tata
1413,Audi A7 2011-2015,Mumbai,2011,42000,Diesel,Automatic,First,2875000.0,Audi
1414,Tata Indica Vista,Pune,2012,65000,Diesel,Manual,First,250000.0,Tata
1415,Maruti Swift Dzire,Delhi,2015,76128,Diesel,Manual,First,550000.0,Maruti
1416,Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,159000.0,Fiat
1417,Hyundai i20 1.2,Mumbai,2017,18673,Petrol,Manual,First,622000.0,Hyundai
1418,Hyundai EON Era,Kolkata,2016,11583,Petrol,Manual,First,275000.0,Hyundai
1419,Hyundai Santro Xing,Chennai,2007,82000,Petrol,Manual,Second,135000.0,Hyundai
1420,Mercedes-Benz GLA Class,Pune,2017,50000,Diesel,Automatic,First,2500000.0,Mercedes-Benz
1421,Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,280000.0,Maruti
1422,Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,245000.00000000003,Chevrolet
1423,Honda Jazz 1.2,Pune,2016,21000,Petrol,Automatic,First,635000.0,Honda
1424,BMW 3 Series,Mumbai,2009,58557,Diesel,Automatic,Third,800000.0,BMW
1425,Renault Duster 110PS,Bangalore,2014,70000,Diesel,Manual,First,825000.0,Renault
1426,Ford Figo 2015-2019,Mumbai,2017,16000,Petrol,Automatic,First,595000.0,Ford
1427,Toyota Innova Crysta,Kochi,2018,8899,Diesel,Manual,First,1992000.0000000002,Toyota
1428,Chevrolet Beat Diesel,Kochi,2016,83629,Diesel,Manual,First,315000.0,Chevrolet
1429,Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,575000.0,Volkswagen
1430,Ford Endeavour 3.2,Kochi,2018,30552,Diesel,Automatic,First,3244000.0,Ford
1431,Hyundai Verna 1.6,Kochi,2016,44875,Diesel,Automatic,Second,801000.0,Hyundai
1432,Ford Figo 2015-2019,Coimbatore,2017,25095,Petrol,Manual,First,648000.0,Ford
1433,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,75000.0,Maruti
1434,Honda City i,Kolkata,2014,36000,Diesel,Manual,First,500000.0,Honda
1435,Mahindra XUV500 W8,Mumbai,2012,37000,Diesel,Manual,First,775000.0,Mahindra
1436,Ford Figo Diesel,Chennai,2010,90000,Diesel,Manual,First,260000.0,Ford
1437,Ford EcoSport 1.5,Pune,2018,17000,Petrol,Manual,First,919999.9999999999,Ford
1438,Hyundai i20 Asta,Mumbai,2015,42575,Petrol,Manual,First,505000.0,Hyundai
1439,Toyota Innova 2.5,Hyderabad,2012,131000,Diesel,Manual,First,960000.0,Toyota
1440,Renault Duster 85PS,Mumbai,2013,74000,Diesel,Manual,First,550000.0,Renault
1441,Toyota Innova 2.5,Mumbai,2013,47234,Diesel,Manual,First,935000.0,Toyota
1442,Honda City 1.5,Delhi,2009,231673,Petrol,Manual,First,260000.0,Honda
1443,Maruti Alto K10,Hyderabad,2016,10000,Petrol,Manual,First,350000.0,Maruti
1444,Nissan Micra Active,Kochi,2016,49389,Petrol,Manual,First,426000.0,Nissan
1445,Maruti Celerio VXI,Chennai,2016,12000,Petrol,Automatic,Second,425000.0,Maruti
1446,Mercedes-Benz New C-Class,Hyderabad,2010,65000,Petrol,Manual,Second,1175000.0,Mercedes-Benz
1447,Ford Fiesta Diesel,Chennai,2013,177000,Diesel,Manual,First,350000.0,Ford
1448,Hyundai Verna 1.6,Jaipur,2015,89000,Petrol,Manual,First,750000.0,Hyundai
1449,Hyundai i20 1.4,Chennai,2009,72000,Petrol,Automatic,Third,325000.0,Hyundai
1450,Maruti Swift Dzire,Chennai,2012,49000,Petrol,Manual,First,490000.00000000006,Maruti
1451,Mercedes-Benz New C-Class,Hyderabad,2014,51355,Diesel,Automatic,First,2700000.0,Mercedes-Benz
1452,Hyundai Elite i20,Kochi,2017,13460,Petrol,Manual,First,891000.0,Hyundai
1453,Hyundai Verna 1.6,Kochi,2014,35642,Petrol,Automatic,First,669000.0,Hyundai
1454,Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,602000.0,Chevrolet
1455,Toyota Corolla Altis,Mumbai,2010,93000,Petrol,Manual,First,450000.0,Toyota
1456,Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,200000.0,Maruti
1457,Nissan Micra Diesel,Kolkata,2012,32048,Diesel,Manual,First,240000.0,Nissan
1458,Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,120000.0,Tata
1459,Maruti Swift Dzire,Delhi,2014,71800,Diesel,Manual,First,290000.0,Maruti
1460,Land Rover Range,Coimbatore,2008,69078,Petrol,Manual,First,4088000.0000000005,Land
1461,Audi Q3 2.0,Ahmedabad,2016,45000,Diesel,Automatic,First,2700000.0,Audi
1462,Honda Amaze VX,Chennai,2016,15388,Diesel,Manual,First,750000.0,Honda
1463,Chevrolet Optra 1.6,Mumbai,2004,98798,Petrol,Manual,First,150000.0,Chevrolet
1464,Audi Q5 2.0,Hyderabad,2016,43000,Diesel,Automatic,First,3950000.0,Audi
1465,Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,339000.0,Maruti
1466,Mahindra Scorpio S6,Kochi,2018,37804,Diesel,Manual,First,1240000.0,Mahindra
1467,Maruti Ciaz ZDi,Chennai,2014,45000,Diesel,Manual,First,685000.0,Maruti
1468,Toyota Corolla Altis,Pune,2011,116000,Diesel,Manual,Second,575000.0,Toyota
1469,Tata Indica V2,Chennai,2015,100073,Diesel,Manual,Second,200000.0,Tata
1470,Maruti 800 Std,Jaipur,2006,165000,Petrol,Manual,First,90000.0,Maruti
1471,Volkswagen Polo 1.2,Kolkata,2015,22000,Petrol,Manual,First,380000.0,Volkswagen
1472,Hyundai Elantra 2.0,Delhi,2017,9500,Petrol,Automatic,First,1635000.0000000002,Hyundai
1473,Toyota Fortuner 4x2,Hyderabad,2012,152000,Diesel,Automatic,First,1650000.0,Toyota
1474,Maruti Baleno Zeta,Coimbatore,2019,17705,Petrol,Manual,First,869999.9999999999,Maruti
1475,Maruti Baleno Zeta,Mumbai,2016,12000,Petrol,Manual,First,610000.0,Maruti
1476,Mini Cooper Countryman,Hyderabad,2013,51000,Diesel,Automatic,First,2194000.0,Mini
1477,Mercedes-Benz S Class,Chennai,2009,42000,Diesel,Automatic,Second,2200000.0,Mercedes-Benz
1478,Maruti Alto K10,Delhi,2015,51000,Petrol,Manual,First,265000.0,Maruti
1479,Maruti Swift VXI,Kochi,2017,42527,Petrol,Manual,First,527000.0,Maruti
1480,Chevrolet Sail LT,Kolkata,2014,45000,Diesel,Manual,First,248000.0,Chevrolet
1481,Toyota Innova 2.5,Kolkata,2011,70000,Diesel,Manual,First,600000.0,Toyota
1482,Toyota Fortuner 3.0,Mumbai,2009,92000,Diesel,Manual,First,890000.0,Toyota
1483,BMW 3 Series,Hyderabad,2012,57156,Diesel,Automatic,Second,1800000.0,BMW
1484,Skoda Octavia Ambition,Coimbatore,2016,53211,Petrol,Manual,First,1164000.0,Skoda
1485,Toyota Fortuner 3.0,Kolkata,2019,80000,Diesel,Manual,First,899000.0,Toyota
1486,Volkswagen Jetta 2007-2011,Bangalore,2009,74000,Diesel,Automatic,First,525000.0,Volkswagen
1487,Hyundai i20 1.4,Kolkata,2011,37000,Diesel,Manual,First,295000.0,Hyundai
1488,Tata Manza Club,Mumbai,2013,64000,Diesel,Manual,Second,265000.0,Tata
1489,Volkswagen Vento Petrol,Pune,2013,57197,Petrol,Manual,First,400000.0,Volkswagen
1490,Hyundai Creta 1.6,Chennai,2016,55000,Diesel,Automatic,First,1250000.0,Hyundai
1491,Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,325000.0,Maruti
1492,Honda CR-V 2.0L,Delhi,2008,70000,Petrol,Manual,First,400000.0,Honda
1493,Mahindra XUV500 W8,Delhi,2012,75000,Diesel,Manual,Second,625000.0,Mahindra
1494,Volkswagen Ameo 1.5,Jaipur,2016,58095,Diesel,Manual,First,580000.0,Volkswagen
1495,Tata Zest Revotron,Kolkata,2015,7445,Petrol,Manual,First,500000.0,Tata
1496,Jaguar XJ 3.0L,Kochi,2016,17652,Diesel,Automatic,First,5873000.0,Jaguar
1497,Toyota Corolla Altis,Kochi,2018,28321,Petrol,Automatic,First,1748999.9999999998,Toyota
1498,Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,195000.0,Maruti
1499,Honda Accord VTi-L,Mumbai,2007,80000,Petrol,Automatic,First,300000.0,Honda
1500,Hyundai i20 Asta,Delhi,2014,42365,Petrol,Manual,First,550000.0,Hyundai
1501,Toyota Fortuner 4x2,Delhi,2013,123000,Diesel,Automatic,First,1650000.0,Toyota
1502,Mercedes-Benz New C-Class,Mumbai,2011,40000,Petrol,Automatic,Second,1450000.0,Mercedes-Benz
1503,Maruti Baleno Alpha,Hyderabad,2016,30112,Diesel,Manual,First,779000.0,Maruti
1504,Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,827000.0,Maruti
1505,Land Rover Range,Kochi,2019,26013,Diesel,Automatic,First,9707000.0,Land
1506,Chevrolet Optra Magnum,Mumbai,2012,56000,Petrol,Manual,First,215000.0,Chevrolet
1507,Honda Civic 2006-2010,Hyderabad,2008,95000,Petrol,Automatic,Second,300000.0,Honda
1508,BMW X3 xDrive20d,Coimbatore,2014,41089,Diesel,Automatic,First,2879000.0,BMW
1509,Skoda Laura Ambition,Mumbai,2011,41988,Diesel,Automatic,First,545000.0,Skoda
1510,Maruti Swift Dzire,Delhi,2013,72486,Diesel,Manual,First,395000.0,Maruti
1511,Volvo V40 Cross,Pune,2013,92000,Diesel,Automatic,First,1600000.0,Volvo
1512,Maruti Swift Dzire,Delhi,2013,40000,Petrol,Manual,First,425000.0,Maruti
1513,Land Rover Range,Bangalore,2014,56000,Diesel,Automatic,First,3450000.0,Land
1514,Honda Accord 2.4,Mumbai,2008,125000,Petrol,Automatic,Third,260000.0,Honda
1515,Toyota Innova 2.5,Kochi,2017,29219,Diesel,Manual,First,1348000.0,Toyota
1516,Toyota Fortuner 4x4,Hyderabad,2018,39927,Diesel,Manual,First,3210000.0,Toyota
1517,Honda Jazz 1.2,Kochi,2018,38593,Petrol,Manual,First,617000.0,Honda
1518,Honda City 1.5,Kolkata,2015,32000,Petrol,Manual,First,550000.0,Honda
1519,Maruti Dzire AMT,Hyderabad,2017,28226,Diesel,Automatic,First,915000.0,Maruti
1520,Nissan Sunny 2011-2014,Pune,2014,95000,Diesel,Manual,First,450000.0,Nissan
1521,Toyota Innova 2.5,Chennai,2014,194000,Diesel,Manual,First,1050000.0,Toyota
1522,Honda Brio S,Coimbatore,2016,14821,Petrol,Manual,First,537000.0,Honda
1523,Volkswagen Vento Petrol,Bangalore,2012,52000,Petrol,Manual,First,545000.0,Volkswagen
1524,Mahindra XUV500 W4,Mumbai,2016,33000,Diesel,Manual,First,925000.0,Mahindra
1525,Ford EcoSport 1.5,Chennai,2016,29200,Diesel,Manual,First,770000.0,Ford
1526,Skoda Yeti Ambition,Hyderabad,2012,99754,Diesel,Manual,First,799000.0,Skoda
1527,Hyundai i10 Sportz,Chennai,2012,49000,Petrol,Manual,First,300000.0,Hyundai
1528,Toyota Innova 2.5,Hyderabad,2005,299322,Diesel,Manual,First,400000.0,Toyota
1529,Tata Zest Quadrajet,Coimbatore,2018,38310,Diesel,Manual,First,669000.0,Tata
1530,Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,425000.0,Maruti
1531,Skoda Rapid 1.5,Kolkata,2017,31300,Diesel,Automatic,First,1050000.0,Skoda
1532,Toyota Innova Crysta,Coimbatore,2019,11241,Diesel,Manual,First,2255000.0,Toyota
1533,Hyundai Verna 1.6,Pune,2014,48000,Petrol,Manual,Second,520000.0,Hyundai
1534,Honda City i,Coimbatore,2019,23882,Petrol,Manual,First,1187000.0,Honda
1535,Honda City i,Hyderabad,2014,65000,Diesel,Manual,First,699000.0,Honda
1536,Volkswagen Vento Diesel,Jaipur,2011,50000,Diesel,Manual,First,500000.0,Volkswagen
1537,Audi Q5 2008-2012,Chennai,2014,25000,Diesel,Automatic,First,4400000.0,Audi
1538,Maruti Alto 800,Chennai,2015,21000,Petrol,Manual,First,279000.0,Maruti
1539,Tata Manza ELAN,Pune,2012,148000,Diesel,Manual,Second,290000.0,Tata
1540,Hyundai Creta 1.6,Delhi,2016,68000,Petrol,Manual,First,985000.0,Hyundai
1541,Mercedes-Benz GL-Class 2007,Bangalore,2014,52000,Diesel,Automatic,First,4900000.0,Mercedes-Benz
1542,Mahindra Thar CRDe,Jaipur,2016,19000,Diesel,Manual,First,925000.0,Mahindra
1543,Hyundai Verna 1.6,Mumbai,2011,74000,Diesel,Manual,Second,375000.0,Hyundai
1544,Ford Aspire Titanium,Coimbatore,2017,30279,Diesel,Manual,First,729000.0,Ford
1545,Mini Cooper 3,Mumbai,2016,20000,Diesel,Automatic,First,2350000.0,Mini
1546,Maruti Omni 8,Hyderabad,2013,34834,Petrol,Manual,First,260000.0,Maruti
1547,Mahindra Verito 1.5,Pune,2015,90000,Diesel,Manual,Second,310000.0,Mahindra
1548,Mercedes-Benz E-Class 2009-2013,Coimbatore,2016,38730,Diesel,Automatic,First,2998000.0,Mercedes-Benz
1549,Renault Duster 110PS,Kochi,2016,57390,Diesel,Manual,First,673000.0,Renault
1550,Maruti Swift Dzire,Kolkata,2016,100000,Diesel,Manual,First,350000.0,Maruti
1551,Volkswagen Polo Petrol,Kolkata,2011,50000,Petrol,Manual,First,235000.0,Volkswagen
1552,Mahindra XUV500 W10,Coimbatore,2017,64961,Diesel,Manual,First,1613000.0,Mahindra
1553,Volkswagen Polo 1.2,Coimbatore,2014,72465,Petrol,Manual,First,590000.0,Volkswagen
1554,Maruti Ritz VXI,Hyderabad,2012,68776,Petrol,Manual,First,390000.0,Maruti
1555,Chevrolet Optra 1.6,Pune,2005,150000,Petrol,Manual,First,150000.0,Chevrolet
1556,Toyota Innova 2.5,Delhi,2012,68000,Diesel,Manual,First,695000.0,Toyota
1557,Honda City i,Delhi,2015,33000,Diesel,Manual,First,700000.0,Honda
1558,Volkswagen Ameo 1.2,Coimbatore,2017,22389,Petrol,Manual,First,723000.0,Volkswagen
1559,Maruti SX4 ZDI,Mumbai,2012,90000,Diesel,Manual,First,381000.0,Maruti
1560,Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,450000.0,Maruti
1561,Hyundai Creta 1.6,Pune,2017,38767,Diesel,Manual,First,1260000.0,Hyundai
1562,Audi Q7 35,Bangalore,2015,21000,Diesel,Automatic,First,4800000.0,Audi
1563,Maruti Alto LXi,Coimbatore,2010,59136,Petrol,Manual,First,296000.0,Maruti
1564,Honda Amaze SX,Kolkata,2014,36000,Diesel,Manual,First,325000.0,Honda
1565,Volkswagen Passat Diesel,Chennai,2011,95000,Diesel,Automatic,Second,850000.0,Volkswagen
1566,Hyundai Elantra CRDi,Mumbai,2013,51000,Diesel,Automatic,First,875000.0,Hyundai
1567,Maruti Wagon R,Kochi,2011,36411,Petrol,Manual,First,308000.0,Maruti
1568,Land Rover Discovery,Mumbai,2017,40000,Diesel,Automatic,First,4150000.0,Land
1569,Honda City i,Pune,2016,27300,Petrol,Manual,First,700000.0,Honda
1570,Mercedes-Benz New C-Class,Kochi,2011,29813,Petrol,Automatic,Second,1150000.0,Mercedes-Benz
1571,Maruti Wagon R,Pune,2011,71000,Petrol,Manual,First,260000.0,Maruti
1572,Hyundai Verna 1.6,Kolkata,2014,32000,Diesel,Manual,First,430000.0,Hyundai
1573,Maruti Ertiga VXI,Mumbai,2017,19234,CNG,Manual,First,835000.0,Maruti
1574,Volkswagen Tiguan 2.0,Jaipur,2017,50510,Diesel,Automatic,First,2490000.0,Volkswagen
1575,BMW X1 sDrive,Pune,2011,102000,Diesel,Automatic,First,1375000.0,BMW
1576,Hyundai Grand i10,Kolkata,2014,42277,Diesel,Manual,First,385000.0,Hyundai
1577,Mercedes-Benz E-Class E250,Mumbai,2014,46000,Diesel,Automatic,First,2325000.0,Mercedes-Benz
1578,Mahindra Bolero ZLX,Chennai,2012,35000,Diesel,Manual,First,700000.0,Mahindra
1579,Hyundai Grand i10,Bangalore,2015,50000,Petrol,Manual,First,575000.0,Hyundai
1580,Hyundai i10 Magna,Mumbai,2008,62000,Petrol,Manual,Second,165000.0,Hyundai
1581,Volkswagen Jetta 2012-2014,Mumbai,2012,78000,Diesel,Manual,First,650000.0,Volkswagen
1582,Skoda Yeti Elegance,Chennai,2011,79000,Diesel,Manual,First,750000.0,Skoda
1583,Audi Q7 45,Kochi,2019,6773,Diesel,Automatic,First,7294000.0,Audi
1584,Toyota Fortuner 3.0,Chennai,2010,135000,Diesel,Manual,Second,1100000.0,Toyota
1585,Maruti Wagon R,Kochi,2013,36716,Petrol,Manual,First,302000.0,Maruti
1586,Hyundai EON Era,Coimbatore,2013,65060,Petrol,Manual,First,332000.0,Hyundai
1587,Honda Brio S,Delhi,2013,33000,Petrol,Manual,First,324000.0,Honda
1588,Maruti Alto 800,Kolkata,2015,11110,Petrol,Manual,First,235000.0,Maruti
1589,Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,550000.0,Mahindra
1590,Honda City i,Mumbai,2015,27030,Petrol,Manual,First,675000.0,Honda
1591,Skoda Rapid 1.6,Mumbai,2015,19600,Petrol,Manual,First,615000.0,Skoda
1592,Maruti Swift VVT,Pune,2016,27755,Petrol,Manual,First,545000.0,Maruti
1593,Hyundai EON Magna,Hyderabad,2013,20000,Petrol,Manual,Second,229999.99999999997,Hyundai
1594,Maruti Swift Dzire,Kochi,2015,24782,Petrol,Manual,First,621000.0,Maruti
1595,Nissan Micra XV,Coimbatore,2014,47303,Petrol,Automatic,First,521000.0,Nissan
1596,Audi Q7 4.2,Delhi,2008,71000,Petrol,Automatic,First,1199000.0,Audi
1597,Maruti Swift Vdi,Pune,2010,135000,Diesel,Manual,First,310000.0,Maruti
1598,Tata Xenon XT,Jaipur,2017,1000,Diesel,Manual,First,750000.0,Tata
1599,Volkswagen Polo 1.5,Kolkata,2016,29000,Diesel,Manual,First,400000.0,Volkswagen
1600,Honda City i,Kochi,2016,36367,Petrol,Manual,First,773000.0,Honda
1601,Honda City i,Bangalore,2015,38000,Petrol,Manual,First,780000.0,Honda
1602,Maruti 800 AC,Hyderabad,2011,83969,Petrol,Manual,First,130000.0,Maruti
1603,Volkswagen Polo 1.5,Jaipur,2014,82621,Diesel,Manual,First,442000.0,Volkswagen
1604,Chevrolet Captiva LTZ,Pune,2009,89000,Diesel,Automatic,First,400000.0,Chevrolet
1605,Mahindra XUV500 W10,Kolkata,2016,54000,Diesel,Manual,First,1300000.0,Mahindra
1606,Honda Amaze VX,Kochi,2015,61691,Diesel,Manual,First,538000.0,Honda
1607,Hyundai i20 1.2,Chennai,2011,32200,Petrol,Manual,Second,325000.0,Hyundai
1608,Maruti Wagon R,Jaipur,2016,68630,Petrol,Automatic,First,387000.0,Maruti
1609,Volkswagen Jetta 2013-2015,Mumbai,2014,61000,Diesel,Automatic,Second,825000.0,Volkswagen
1610,Maruti Ciaz 1.4,Mumbai,2018,32644,Petrol,Manual,First,927999.9999999999,Maruti
1611,Mahindra Scorpio 2009-2014,Delhi,2012,85000,Diesel,Automatic,First,625000.0,Mahindra
1612,Chevrolet Aveo U-VA,Mumbai,2008,75000,Petrol,Manual,Second,114999.99999999999,Chevrolet
1613,Maruti Ciaz ZXi,Kochi,2016,40347,Petrol,Manual,First,780000.0,Maruti
1614,Hyundai i20 1.4,Hyderabad,2012,60788,Diesel,Manual,First,450000.0,Hyundai
1615,Honda Jazz 1.2,Kochi,2018,18664,Petrol,Manual,First,756000.0,Honda
1616,Mahindra XUV500 W10,Coimbatore,2017,57847,Diesel,Manual,First,1607999.9999999998,Mahindra
1617,Hyundai i20 1.2,Bangalore,2012,52237,Petrol,Manual,First,450000.0,Hyundai
1618,Hyundai Verna 1.6,Chennai,2012,128000,Diesel,Manual,First,500000.0,Hyundai
1619,Hyundai i10 Era,Delhi,2011,54000,Petrol,Manual,First,220000.00000000003,Hyundai
1620,Maruti Celerio VXI,Bangalore,2014,49800,Petrol,Automatic,First,400000.0,Maruti
1621,Skoda Fabia 1.2,Kolkata,2012,98000,Diesel,Manual,First,250999.99999999997,Skoda
1622,Maruti Swift VDI,Delhi,2015,60095,Diesel,Manual,First,475000.0,Maruti
1623,Hyundai i10 Magna(O),Pune,2008,68000,Petrol,Manual,Second,200000.0,Hyundai
1624,Hyundai i10 Magna,Jaipur,2010,81402,Petrol,Manual,Second,210000.0,Hyundai
1625,Ford Ecosport 1.5,Mumbai,2013,38000,Petrol,Automatic,First,625000.0,Ford
1626,Mercedes-Benz E-Class 2009-2013,Kochi,2011,92239,Diesel,Automatic,Second,1060000.0,Mercedes-Benz
1627,Maruti Swift VDI,Ahmedabad,2017,49224,Diesel,Manual,First,600000.0,Maruti
1628,Maruti 800 Std,Jaipur,2004,12000,Petrol,Manual,Second,45000.0,Maruti
1629,Maruti Swift Lxi,Pune,2010,54898,Petrol,Manual,Third,250000.0,Maruti
1630,Hyundai Creta 1.6,Mumbai,2018,2500,Petrol,Manual,First,1275000.0,Hyundai
1631,BMW X1 M,Kochi,2017,32838,Diesel,Automatic,First,3029000.0,BMW
1632,Ford Ikon 1.3,Hyderabad,2006,27076,Petrol,Manual,First,160000.0,Ford
1633,Ford Ecosport 1.5,Kochi,2017,75445,Diesel,Manual,First,754000.0,Ford
1634,Maruti Ciaz VXi,Kochi,2015,46601,Petrol,Manual,First,684000.0,Maruti
1635,Volkswagen Passat Diesel,Kolkata,2012,72000,Diesel,Automatic,First,600000.0,Volkswagen
1636,Honda Jazz 1.5,Pune,2017,27000,Diesel,Manual,First,800000.0,Honda
1637,Audi A4 35,Coimbatore,2016,68193,Diesel,Automatic,First,2474000.0,Audi
1638,Hyundai Grand i10,Kochi,2017,34429,Diesel,Manual,First,550000.0,Hyundai
1639,Mercedes-Benz GL-Class 2007,Delhi,2013,46000,Diesel,Automatic,First,3600000.0,Mercedes-Benz
1640,Toyota Innova 2.5,Coimbatore,2013,80544,Diesel,Manual,First,1179000.0,Toyota
1641,Nissan Sunny 2011-2014,Jaipur,2011,42000,Petrol,Manual,Second,300000.0,Nissan
1642,Skoda Laura Ambiente,Bangalore,2011,94821,Diesel,Automatic,Second,675000.0,Skoda
1643,Chevrolet Aveo 1.4,Jaipur,2006,100000,Petrol,Manual,First,140000.0,Chevrolet
1644,Honda Mobilio V,Mumbai,2014,57000,Diesel,Manual,First,575000.0,Honda
